"cluster","biospecimen"
"1","BS_TGDZ491N"
"1","BS_FXDGYFBR"
"2","BS_DERH44Z2"
"2","BS_CXGWN1W5"
"2","BS_QS2NKZW3"
"2","BS_135GYQQD"
"2","BS_HBMHZEGZ"
"2","BS_MPE34NYZ"
"2","BS_94ZKC2SR"
"2","BS_SM1QE9FJ"
"2","BS_STTGK8V4"
"2","BS_XFFQR05Z"
"2","BS_2Y28PRQC"
"2","BS_ERHKS2Y7"
"2","BS_S32M2YTY"
"2","BS_9JBYGRQW"
"2","BS_9C595Y9M"
"2","BS_2XTH5QRD"
"2","BS_JWXQFZY9"
"2","BS_NJSZSZX5"
"2","BS_W3ZSVEVP"
"2","BS_HP8EEDS6"
"2","BS_REGK1PS6"
"2","BS_6Y5F3QGV"
"2","BS_YG0W2BBN"
"2","BS_KV05J5BX"
"2","BS_KHW6ASK4"
"2","BS_DYHEFXJC"
"2","BS_P10Y42BX"
"2","BS_EE5Z0Z4J"
"2","BS_KG9X0NFD"
"2","BS_MY7JYHVH"
"2","BS_CN3256VE"
"2","BS_43R2B7DR"
"2","BS_H5RWQDCJ"
"2","BS_A2HY1DZA"
"2","BS_6GSJCDCN"
"2","BS_QJ3XB7XZ"
"2","BS_ZWRZRC4V"
"2","BS_8V59CEJJ"
"2","BS_E359X3QV"
"2","BS_M462FWS9"
"2","BS_5W25GMQ1"
"2","BS_A70FPYSH"
"2","BS_DBXCETW2"
"2","BS_C84NQED0"
"2","BS_MYNJDVWV"
"2","BS_GWN2F333"
"2","BS_S0B4WASX"
"2","BS_HA1N9VCX"
"2","BS_KBXSSXWF"
"2","BS_XHSRBERM"
"2","BS_ZFJS669M"
"2","BS_ETC8R0TD"
"2","BS_3GRJH3PS"
"2","BS_8VPBB5C2"
"2","BS_VV8GRGZ6"
"2","BS_5Y98E084"
"2","BS_EXEE6TDK"
"2","BS_28ZRHXX8"
"2","BS_J9EH31NM"
"2","BS_A3198WFE"
"2","BS_K59AGJKW"
"2","BS_0YPDAAE8"
"2","BS_8MYS5HP4"
"2","BS_3D1XTG0K"
"2","BS_GR7694W1"
"2","BS_0SC4QNTM"
"2","BS_0JBZPAGN"
"2","BS_WKC3GR0D"
"2","BS_NKGRBE18"
"2","BS_MAJ800Q0"
"2","BS_CZMY8CVE"
"2","BS_AFRGW493"
"2","BS_MEN59ZX5"
"2","BS_FC37XAZK"
"2","BS_3KGHX57D"
"2","BS_CCV91DR0"
"2","BS_H9BW7Y9C"
"2","BS_9R8GFR36"
"2","BS_82Q78622"
"2","BS_EMBK3HHP"
"2","BS_T7MWWC0A"
"2","BS_T4KS08ND"
"2","BS_X3F8NMS4"
"2","BS_DHWN3X5S"
"2","BS_KYGRX01W"
"2","BS_HW9CGZ29"
"2","BS_JFJYEHFM"
"2","BS_5Y7PNW71"
"2","BS_GMH5C45K"
"2","BS_48YZKWC2"
"2","BS_FE3BY6DT"
"2","BS_15ED4VDX"
"2","BS_Z3BZ01S1"
"2","BS_CD6WEHG9"
"2","BS_QM9CBE54"
"2","BS_9BYP1GZS"
"2","BS_NR090DDV"
"2","BS_S01DMJ5X"
